festival_name,genre,city,state,start_date,end_date,description
Apeejay Kolkata Literary Festival,Literature,Kolkata,West Bengal,10 Jan 2025,12 Jan 2025,"This Apeejay Kolkata Literary Festival which is curated by retail chain Oxford Bookstore, explores literature as part of the tangible and intangible heritage of Kolkata. To this end, the events are held in historical venues across the city. Each edition of Apeejay Kolkata Literary Festival features discussions with over 50 authors, poets, journalists, artists, athletes and other creative minds from Kolkata, India and the world. Writers Anand Neelakantan, Ben Okri, Ravinder Singh and Durjoy Datta, filmmakersAparna Senand Vishal Bhardwaj and actors Saurabh Shukla and Aamir Khan have been part of the festival over the years."
Apeejay Bangla Sahitya Utsob,Literature,Kolkata,West Bengal,24 Nov 2023,26 Nov 2023,"Since its launch in 2015 by Oxford Bookstore and publisher Patra Bharati, the Apeejay Bangla Sahitya Utsob has served as an interactive platform for the voices of contemporary literature in Bangla, considered one of the most mellifluous and ornate languages of the world."
Uttar Dinajpur Festival,Arts and Crafts,Raiganj,West Bengal,07 Apr 2023,09 Apr 2023,"The Uttar Dinajpur Festival which takes place annually at Raiganj in the Uttar Dinajpur District of West Bengal highlights the rich cultural heritage of North Bengal through its performing arts and handicrafts. The festival is part of the Rural Craft and Cultural Hubs of West Bengal initiative, which aims to promote and strengthen the states ICH-based craft and performing arts with the support of the Department of MSME&T and UNESCO. The festival showcases the traditional wooden masks that are an integral part of the Gomira dance and Khon, a traditional folk drama, both of which are performed in the surrounding villages of Uttar and Dakshin Dinajpur such as Kushmundi and Krishnabati. These masks have received the coveted Geographical Indication (GI) tag in 2018 and are highly sought after by collectors. The festival also features dokra (a native craft of Bengal involving non-ferrous metal casting using the lost-wax casting technique), pottery work and bamboo basketry."
Thespo Youth Theatre Festival,Theatre,Mumbai,Maharashtra,02 Dec 2024,08 Dec 2024,"Organised annually by Thespo, a youth theatre movement started in 1999, this Mumbai-based festival is a platform by and for anyone under the age of 25 years to perform, engage with peers and experts, and form connections with theatre practitioners. For over two decades, Thespo has showcased the best of youth theatre from across the country in the form of full-length plays, platform performances, play readings and devised performances."
The Niloufer Sagar Festival of New Theatrical Work,Theatre,Mumbai,India,22 May 2024,23 May 2024,"The Niloufer Sagar Festival of New Theatrical Work is a groundbreaking festival presented by theG5AFoundation for Contemporary Culture and theDrama Schools Foundation Mumbai. The inaugural festival is a testament to the visionary support of esteemed art patron Sangita Jindal, whose commitment to the arts in India is unwavering. Set to debut at the G5A Foundation for Contemporary Culture, this cultural milestone will feature a carefully curated selection of new plays developed through the Niloufer Sagar Alumni Grant (NSAPG). Established in honour of the late Niloufer Sagar, a revered figure in theatre and live arts production, on the wishes of her family, this grant serves as a testament to her lasting legacy. Administered by the Drama School Foundation Mumbai (DSFM), the grant has already facilitated the successful production of 12 productions."
The Next Act,Theatre,New Delhi,Delhi NCR,13 Sep 2024,29 Sep 2024,"The Next Act by theLittle Theatre Groupis a new theatre festival that celebrates the power of performance art and storytelling. Theinaugural editionis curated for innovation, bringing together a select number of plays and workshops by emerging visionary theatre-makers who are pushing the boundaries of traditional theatre. Working in experimental spaces, these artists are at the forefront of reimagining how stories are told on stage."
The Ishara International Puppet Festival,Theatre,Delhi Chandigarh,Delhi NCR,14 Feb 2023,20 Feb 2023,"Started in 2001 by the Ishara Puppet Theatre Trust and produced byTeamwork Arts, the annual Ishara International Puppet Festival in New Delhi aims to increase public awareness and appreciation of the various forms of puppetry from India and abroad. During the same period as the main event, the Tagore Theatre Society in Chandigarh holds a parallel four-day festival featuring a selection of the productions staged in New Delhi."
Tepantar Theatre Festival,Theatre,Tepantar Paschim Bardhaman,West Bengal,25 Oct 2024,27 Oct 2024,"Tepantar, located in the serene Satkahania village of Paschim Bardhaman, is a four-acre sanctuary just 175 kilometers from Kolkata. Home to the theatre group Ebong Amra, it offers a peaceful retreat with ethnic cottages and dormitories amid lush greenery. From 25 to 27 October, 2024, Tepantar will host a theatre festival featuring live performances by local talent. Visitors can also explore nearby attractions like the 17th-century Ichai Ghosh Deul, the historic Durga temple in Garh Jungle, and a charming brass chariot in Bankati village, all while enjoying walks along the tranquil Ajay River."
Short+Sweet South India,Theatre,Chennai,Tamil Nadu,02 Sep 2024,29 Sep 2024,"Inspired by its namesake festival in Sydney, held in 30 cities across seven countries, Short+Sweet South India is a festival/competition for 10-minute-long theatrical presentations. The festival, which started as Short+Sweet Chennai in 2011, has been open to entries from India and across the world since 2014."
Shadipur Natak Utsav,Theatre,Delhi,Delhi NCR,12 Nov 2022,27 Nov 2022,"The Shadipur Natak Utsav describes itself as Indias first community-curated theatre festival. Residents of west Delhis Shadipur area, the locality in which festival organiser and venue Studio Safdar is based, select the plays. The curators for the first instalment, in 2019, were businessmen Iqbal Hussain and Naseem Akhtar, gardener Kamlesh Kumari, Hindi teacher Poonam Rajput and tea seller Ravi Kumar Otwal."
Remembering Veenapani Festival,Theatre,Puducherry,Puducherry,13 Apr 2025,19 Apr 2025,"Remembering Veenapani Festival is an annual event in remembrance of Veenapani Chawla, the founder of Adishakti Laboratory for Theatre Art Research, where performers from across the country come together to commemorate her life and work."
Ranga Shankara Theatre Festival,Theatre,Bengaluru,Karnataka,27 Oct 2020,,"Held at one of Bengalurus best-known venues, the week-long, theme-based Ranga Shankara Theatre Festival offers a smorgasbord of Indian and, often, international plays. Apart from the carefully curated performances, the proceedings include seminars, discussions and workshops."
Prithvi Festival,Theatre,Mumbai,Maharashtra,03 Nov 2024,18 Nov 2024,"Prithvi Festival is the annual festival organised by Mumbais Prithvi Theatre around its anniversary, which is celebrated on November 5. The festival, which was launched in 1983, showcases new, emerging and past theatre performances. Adishakti, Ansh, Complicite, Motley, Naya Theatre, Rage Productions and Theatre Unit are just a few of the theatre groups that have staged productions at the festival, many of which have premiered at the event. Along with plays, the events have included talks and music concerts."
Prayogshala Fringe Theatre Festival,Theatre,Ahmedabad,Gujarat,24 Mar 2023,26 Mar 2023,"The two-day Prayogshala Fringe Theatre Festival, launched in 2022, features some of the countrys most diverse, edgy and novel performances. Ahmedabad-based black box venue Prayogshala organises and hosts the festival. In addition to local and national productions, the inaugural edition included workshops and street theatre shows."
Pratibimb Marathi Natya Utsav,Theatre,Mumbai,Maharashtra,22 May 2025,25 May 2025,"The National Centre for the Performing Arts (NCPA)s annual Marathi theatre festival, the Pratibimb Marathi Natya Utsav, was launched in 2010, to reflect the vibrant tradition of theatre in Maharashtra, which is known for its thought-provoking themes that present the world around us in a new light. Plays, readings, talks and discussions by the most prominent names in contemporary Marathi theatre make up the three-day celebration."
Muktadhara Festival,Theatre,Kolkata,West Bengal,03 Dec 2022,17 Dec 2022,"The ninth edition of Muktadhara, a bi-annual International forum theatre festival organised byJana Sanskritisince 2004, was held in 2022. This festival creates connections among artists and academics from all across the globe on the principles and evolving practices of the Theatre of the Oppressed – a theatre form developed byAugusto Boalin Brazil that enabled people to discuss concerns on their own terms.Jana Sanskriti was seen, particularly in the post-Boal era, as the main point of reference for all who belong to this theatre school globally. People from all across the globe come and assemble here and get themselves known. The festival programme typically includes workshops, academic exchanges and spectator engagement-heavy performances. The festival doesnt take any sponsor or institutional grant. Participants from across the globe come on their own and pay a respectable participation fee and thus act as sponsors. The festival is a learning space for art practitioners from Africa, South America, North America, Europe. AsAl Jazeerareportedin its coverage of the Muktadhara festival in 2013, All participants are not professional actors, but all believe in the contribution of art for social change and the possibility to tackle issues like immigration, domestic violence, or food security through theatre.At Muktadhara-IX, Forum theatre groups came together from all over India and engaged the people of Kolkata in debate on issues that are local as well as national, thereby reaffirming the idea of theatre as a tool for collective learning. Academics and theatre personalities from all across the globe also participated at this festival."
Manam Theatre Festival,Theatre,Hyderabad,Telangana,15 Nov 2024,15 Dec 2024,"Presented byThe We _ Us Collective, an initiative of the Almond House Foundation, the Manam Theatre Festival in Hyderabad unfolds over four weekends, inviting audiences into the mesmerising realm of performing arts. This festival aims to unite Hyderabads vibrant theatre community with visiting troupes from across the country and beyond. From puppetry to live music, dancing to masking, artists representing diverse phases, forms, and places – spanning from Pondicherry to Sikkim – converge to celebrate the art of performance at various venues across the city. Featuring an impressive lineup that includes four visiting troupes and four local Hyderabad troupes across multiple venues, offering a series of shows, the Manam Theatre Festival promises to be a vibrant celebration of performing arts for audiences of all backgrounds."
Mahindra Excellence in Theatre Awards,Theatre,Delhi,Delhi NCR,14 Mar 2024,20 Mar 2024,"The Mahindra Excellence in Theatre Awards (META), instituted by the Mahindra Group in 2006, recognises and rewards Indias best theatre productions and practitioners across regions and languages. META, which is held every year across multiple venues in Delhi, aims to increase awareness and appreciation of Indian theatre and give a voice to diverse themes. The Mahindra Excellence in Theatre Awards nominates 10 plays out of hundreds of submissions to be staged over a week. Theawardrecognises all aspects of the stage, by presenting awards in 13 categories including playwriting, set, costume and light design, direction and performance. A Lifetime Achievement Award is also presented at the awards night.Social issues, mythology, religion, gender, caste, class and politics have all been explored by the nominated plays. Among the landmark productions that have been bestowed with multiple METAs are Indian EnsemblesGasha(2013), The Company TheatresPiya Behrupiya(2014), DramanonsAkshayambara(2016), Dur Se BrothersElephant in the Room(2017), Black TheatresNona(2018) and Black Box OkhlasFor the Record(2020). Though the festival did not take place in 2021, the organisers held a series of online talks and masterclasses in its place."
Kattaikkuttu Sangam’s Mahabharata Festival,Arts and Crafts,Kanchipuram,Tamil Nadu,26 Oct 2024,28 Dec 2024,"The inaugural edition of the Performing Arts Festival, organised by the Kattaikkuttu Sangam, made its debut in 1991 at Sengunthar Poovarasan Toppu in Kanchipuram. Over the years, this MahabharataFestivalhas evolved into an annual cultural extravaganza, with each year offering a unique blend of performances, locations and programming."
IHC Theatre Festival,Theatre,New Delhi,Delhi NCR,23 Sep 2022,02 Oct 2022,"The annual IHC Theatre Festival, launched in 2002, brings audiences an eclectic mix of classics, translations, adaptations and original devised scripts that showcase significant strands of theatre practice from across India. Around ten productions are staged at the event every year. In addition to the performances, there are film screenings, talks and workshops."
IAPAR International Theatre Festival,Theatre,Pune,Maharashtra,10 Dec 2024,15 Dec 2024,"The International Association for Performing Arts and Research (IAPAR), a network of artists and arts professionals, launched the IAPAR International Theatre Festival in 2016 to give Puneites access to original and stimulating productions from across the world. Keeping the actor at the centre is the focus of the festival, which encourages any kind of dramatic presentation. The performances include those of full-length and short plays, storytelling and poetry. Masterclasses by senior theatre practitioners, workshops, play readings and a vibrant outreach programme for schools are among the attractions at the annual event."
Guwahati Theatre Festival,Theatre,Guwahati,Assam,08 Sep 2023,10 Sep 2023,English-language tabloid G Plus launched the Guwahati Theatre Festival in 2016. Its aim is to provide a platform to performing groups to showcase their productions in the region.
Akvarious Microfest,Theatre,Mumbai,Maharashtra,16 May 2025,18 May 2025,"Akvarious Productions is one of Indias most prolific and versatile contemporary theatre companies. In the last 25 years,Akvarious Productions(Bombay, India) has staged over 80 plays covering a wide range of genres and languages, of which seven have been nominated for the Mahindra Excellence in Theatre Awards, and two have won the prestigious award for Best Play. Akvarious has performed over 1600 shows across 35 cities, in India and abroad, and has produced ten plays for children."
AHA! International Theatre for Children,Theatre,Bengaluru,Karnataka,26 Jun 2022,30 Jun 2022,"Launched in 2006 and organised by Ranga Shankara under its AHA! Theatre for Children wing, AHA! International Theatre for Children is a week-long festival in Bengaluru that annually showcases national and international productions for young audiences in June and July. Every alternate year, its also staged in Hyderabad and Ahmedabad. A range of productions for different ages, from two years onwards, have been presented at the festival. For the Indian section, there has been a special focus on bringing folk forms that the young should watch. Past editions of the festival have showcased plays from New Delhi, Germany, Korea and Switzerland, along with in-productions byRanga Shankara."
Aadyam Theatre,Theatre,,,01 Jan 2023,30 Sep 2023,"Aadyam Theatre, an exciting theatre initiative by the Aditya Birla Group is now back again with its sixth season after two years of hiatus post COVID. This new season is all about bringing back the joy of live theatre into the lives of people across the country. The theatre festival will be a mix of four proscenium and two experimental shows performed in venues across both Mumbai and Delhi. Besides, there will also be a bunch of new theatre-centric activities, housed underAadyam Spotlight(a budding community for theatre lovers), such as theatre podcasts, workshops, a theatre club and an exclusive theatre blog."
